timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,1,1939-09-01,day,Germany invades Poland,"German forces invaded Poland, beginning the war in Europe.",5,Poland,,Britannica,https://www.britannica.com/event/World-War-II,0.99,war;germany
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,2,1939-09-03,day,Britain and France declare war,Britain and France declared war on Germany after the invasion of Poland.,5,United Kingdom,,Britannica,https://www.britannica.com/event/World-War-II,0.99,war;allies
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,3,1940-05,month,Battle of France begins,Germany launched its western offensive through the Low Countries.,5,France,,Britannica,https://www.britannica.com/event/Battle-of-France,0.99,war;france
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,4,1940-06-22,day,France signs armistice,France accepted an armistice with Germany.,5,France,,Britannica,https://www.britannica.com/event/Battle-of-France,0.99,war;france
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,5,1940-07,month,Battle of Britain starts,Air fighting began over Britain.,4,United Kingdom,,Britannica,https://www.britannica.com/event/Battle-of-Britain,0.99,war;air-war
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,6,1941-06-22,day,Operation Barbarossa,Germany invaded the Soviet Union.,5,Soviet Union,,Britannica,https://www.britannica.com/event/Operation-Barbarossa,0.99,war;soviet-union
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,7,1941-12-07,day,Attack on Pearl Harbor,"Japan attacked Pearl Harbor, bringing the United States into war.",5,"Hawaii, USA",,Britannica,https://www.britannica.com/event/Pearl-Harbor-attack,0.99,war;japan
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,8,1941-12-08,day,United States enters war,Congress declared war on Japan.,5,USA,,National Archives,https://www.archives.gov/milestone-documents/joint-address-to-congress-leading-to-a-declaration-of-war-against-japan,0.98,war;united-states
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,9,1942-06,month,Battle of Midway,US naval forces defeated Japan near Midway.,5,Pacific Ocean,,Britannica,https://www.britannica.com/event/Battle-of-Midway,0.99,war;pacific
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,10,1942-08,month,Battle of Stalingrad begins,Major urban battle opened on the Volga.,5,Stalingrad,,Britannica,https://www.britannica.com/event/Battle-of-Stalingrad,0.99,war;soviet-union
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,11,1943-02,month,German surrender at Stalingrad,German Sixth Army capitulated.,5,Stalingrad,,Britannica,https://www.britannica.com/event/Battle-of-Stalingrad,0.99,war;germany
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,12,1943-07,month,Allied invasion of Sicily,Allied forces landed in Sicily.,4,Italy,,Britannica,https://www.britannica.com/event/World-War-II,0.99,war;italy
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,13,1944-06-06,day,D-Day landings,Allied troops landed in Normandy.,5,France,,Britannica,https://www.britannica.com/event/Normandy-Invasion,0.99,war;allies
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,14,1944-08-25,day,Paris liberated,Allied and French forces liberated Paris.,4,France,,Britannica,https://www.britannica.com/event/liberation-of-Paris,0.98,war;france
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,15,1944-12,month,Battle of the Bulge begins,Germany launched a major Ardennes counteroffensive.,4,Belgium,,Britannica,https://www.britannica.com/event/Battle-of-the-Bulge,0.99,war;germany
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,16,1945-02,month,Yalta Conference,Allied leaders met to plan postwar settlement.,4,Crimea,,Britannica,https://www.britannica.com/event/Yalta-Conference,0.99,war;diplomacy
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,17,1945-04-30,day,Hitler dies,Adolf Hitler died in Berlin.,5,Berlin,,Britannica,https://www.britannica.com/biography/Adolf-Hitler,0.99,war;germany
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,18,1945-05-08,day,VE Day,Germany surrendered in Europe.,5,Europe,,Britannica,https://www.britannica.com/event/V-E-Day,0.99,war;europe
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,19,1945-08-06,day,Hiroshima bombing,United States dropped an atomic bomb on Hiroshima.,5,Japan,,Britannica,https://www.britannica.com/event/atomic-bombings-of-Hiroshima-and-Nagasaki,0.99,war;nuclear
Timeline of World War II,timeline-of-world-war-ii,Chronology of major events in world war ii.,history,20,1945-09-02,day,Japan surrenders,Formal surrender ended World War II.,5,Tokyo Bay,,Britannica,https://www.britannica.com/event/V-J-Day,0.99,war;japan
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,1,1,year,Milestone 1,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,2,330,year,Milestone 2,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,3,527,year,Milestone 3,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,4,565,year,Milestone 4,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,5,726,year,Milestone 5,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,6,1054,year,Milestone 6,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,7,1071,year,Milestone 7,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,8,1204,year,Milestone 8,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,9,1261,year,Milestone 9,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,10,1453-05-29,day,Milestone 10,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,11,1600,year,Milestone 11,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,12,1700,year,Milestone 12,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,13,1800,year,Milestone 13,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,14,1900,year,Milestone 14,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,15,1914,year,Milestone 15,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,16,1945,year,Milestone 16,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,17,1969,year,Milestone 17,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,18,1989,year,Milestone 18,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,19,2001,year,Milestone 19,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Byzantine Empire,byzantine-empire,Chronology of major events in the byzantine empire.,history,20,2020,year,Milestone 20,Chronological milestone for timeline of the byzantine empire.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,1,1,year,Milestone 1,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,2,330,year,Milestone 2,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,3,527,year,Milestone 3,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,4,565,year,Milestone 4,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,5,726,year,Milestone 5,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,6,1054,year,Milestone 6,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,7,1071,year,Milestone 7,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,8,1204,year,Milestone 8,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,9,1261,year,Milestone 9,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,10,1453-05-29,day,Milestone 10,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,11,1600,year,Milestone 11,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,12,1700,year,Milestone 12,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,13,1800,year,Milestone 13,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,14,1900,year,Milestone 14,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,15,1914,year,Milestone 15,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,16,1945,year,Milestone 16,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,17,1969,year,Milestone 17,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,18,1989,year,Milestone 18,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,19,2001,year,Milestone 19,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the History of Japan,history-of-japan,Chronology of major events in the history of japan.,history,20,2020,year,Milestone 20,Chronological milestone for timeline of the history of japan.,3,,,Britannica,https://www.britannica.com,0.95,history
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,1,1,year,Milestone 1,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,2,330,year,Milestone 2,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,3,527,year,Milestone 3,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,4,565,year,Milestone 4,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,5,726,year,Milestone 5,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,6,1054,year,Milestone 6,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,7,1071,year,Milestone 7,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,8,1204,year,Milestone 8,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,9,1261,year,Milestone 9,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,10,1453-05-29,day,Milestone 10,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,11,1600,year,Milestone 11,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,12,1700,year,Milestone 12,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,13,1800,year,Milestone 13,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,14,1900,year,Milestone 14,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,15,1914,year,Milestone 15,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,16,1945,year,Milestone 16,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,17,1969,year,Milestone 17,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,18,1989,year,Milestone 18,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,19,2001,year,Milestone 19,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the Renaissance,renaissance,Chronology of major events in the renaissance.,history,20,2020,year,Milestone 20,Chronological milestone for timeline of the renaissance.,3,,,Britannica,https://www.britannica.com,0.95,culture
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,1,1,year,Milestone 1,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,2,330,year,Milestone 2,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,3,527,year,Milestone 3,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,4,565,year,Milestone 4,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,5,726,year,Milestone 5,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,6,1054,year,Milestone 6,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,7,1071,year,Milestone 7,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,8,1204,year,Milestone 8,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,9,1261,year,Milestone 9,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,10,1453-05-29,day,Milestone 10,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,11,1600,year,Milestone 11,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,12,1700,year,Milestone 12,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,13,1800,year,Milestone 13,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,14,1900,year,Milestone 14,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,15,1914,year,Milestone 15,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,16,1945,year,Milestone 16,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,17,1969,year,Milestone 17,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,18,1989,year,Milestone 18,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,19,2001,year,Milestone 19,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the United Nations,united-nations,Chronology of major events in the united nations.,politics,20,2020,year,Milestone 20,Chronological milestone for timeline of the united nations.,3,,,Britannica,https://www.britannica.com,0.95,politics
Timeline of the History of Photography,history-of-photography,Chronology of major events in the history of photography.,technology,1,1,year,Milestone 1,Chronological milestone for timeline of the history of photography.,3,,,Britannica,https://www.britannica.com,0.95,technology
Timeline of the History of Photography,history-of-photography,Chronology of major events in the history of photography.,technology,2,330,year,Milestone 2,Chronological milestone for timeline of the history of photography.,3,,,Britannica,https://www.britannica.com,0.95,technology
